antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'product=Windows', 'month=Q1'})",frozenset({'vendor=Microsoft'}),0.03714085494043448,0.23686054660126138,0.03714085494043448,1.0,4.221893491124261,1.0,0.02834365173800501,inf,0.7925764192139737,0.1568047337278107,1.0,0.5784023668639053
"frozenset({'year=2024-2025', 'product=Windows'})","frozenset({'ransomware=False', 'vendor=Microsoft'})",0.03433777154870357,0.23686054660126138,0.03433777154870357,1.0,4.221893491124261,1.0,0.0262045082106084,inf,0.7902757619738751,0.14497041420118342,1.0,0.5724852071005917
frozenset({'vendor=Microsoft'}),"frozenset({'ransomware=False', 'year=<=2022', 'product=Windows', 'month=Q1'})",0.23686054660126138,0.023826208829712685,0.023826208829712685,0.10059171597633138,4.221893491124261,1.0,0.01818271998287114,1.0853511230774906,1.0,0.10059171597633136,0.07863918068788575,0.5502958579881657
"frozenset({'ransomware=False', 'vendor=Microsoft'})","frozenset({'year=<=2022', 'product=Windows', 'month=Q1'})",0.23686054660126138,0.023826208829712685,0.023826208829712685,0.10059171597633138,4.221893491124261,1.0,0.01818271998287114,1.0853511230774906,1.0,0.10059171597633136,0.07863918068788575,0.5502958579881657
"frozenset({'month=Q2', 'product=Windows'})","frozenset({'ransomware=False', 'vendor=Microsoft'})",0.023826208829712685,0.23686054660126138,0.023826208829712685,1.0,4.221893491124261,1.0,0.01818271998287114,inf,0.7817659727207465,0.10059171597633136,1.0,0.5502958579881657
frozenset({'vendor=Microsoft'}),"frozenset({'ransomware=False', 'month=Q2', 'product=Windows'})",0.23686054660126138,0.023826208829712685,0.023826208829712685,0.10059171597633138,4.221893491124261,1.0,0.01818271998287114,1.0853511230774906,1.0,0.10059171597633136,0.07863918068788575,0.5502958579881657
"frozenset({'year=<=2022', 'product=Windows', 'month=Q1'})","frozenset({'ransomware=False', 'vendor=Microsoft'})",0.023826208829712685,0.23686054660126138,0.023826208829712685,1.0,4.221893491124261,1.0,0.01818271998287114,inf,0.7817659727207465,0.10059171597633136,1.0,0.5502958579881657
"frozenset({'ransomware=False', 'vendor=Microsoft'})","frozenset({'month=Q2', 'product=Windows'})",0.23686054660126138,0.023826208829712685,0.023826208829712685,0.10059171597633138,4.221893491124261,1.0,0.01818271998287114,1.0853511230774906,1.0,0.10059171597633136,0.07863918068788575,0.5502958579881657
frozenset({'vendor=Microsoft'}),"frozenset({'ransomware=False', 'product=Internet Explorer'})",0.23686054660126138,0.023826208829712685,0.023826208829712685,0.10059171597633138,4.221893491124261,1.0,0.01818271998287114,1.0853511230774906,1.0,0.10059171597633136,0.07863918068788575,0.5502958579881657
frozenset({'product=Internet Explorer'}),"frozenset({'ransomware=False', 'vendor=Microsoft'})",0.023826208829712685,0.23686054660126138,0.023826208829712685,1.0,4.221893491124261,1.0,0.01818271998287114,inf,0.7817659727207465,0.10059171597633136,1.0,0.5502958579881657
"frozenset({'ransomware=False', 'product=Internet Explorer'})",frozenset({'vendor=Microsoft'}),0.023826208829712685,0.23686054660126138,0.023826208829712685,1.0,4.221893491124261,1.0,0.01818271998287114,inf,0.7817659727207465,0.10059171597633136,1.0,0.5502958579881657
frozenset({'vendor=Microsoft'}),frozenset({'product=Internet Explorer'}),0.23686054660126138,0.023826208829712685,0.023826208829712685,0.10059171597633138,4.221893491124261,1.0,0.01818271998287114,1.0853511230774906,1.0,0.10059171597633136,0.07863918068788575,0.5502958579881657
frozenset({'product=Internet Explorer'}),frozenset({'vendor=Microsoft'}),0.023826208829712685,0.23686054660126138,0.023826208829712685,1.0,4.221893491124261,1.0,0.01818271998287114,inf,0.7817659727207465,0.10059171597633136,1.0,0.5502958579881657
"frozenset({'ransomware=False', 'vendor=Microsoft'})",frozenset({'product=Internet Explorer'}),0.23686054660126138,0.023826208829712685,0.023826208829712685,0.10059171597633138,4.221893491124261,1.0,0.01818271998287114,1.0853511230774906,1.0,0.10059171597633136,0.07863918068788575,0.5502958579881657
"frozenset({'month=Q2', 'product=Windows'})",frozenset({'vendor=Microsoft'}),0.023826208829712685,0.23686054660126138,0.023826208829712685,1.0,4.221893491124261,1.0,0.01818271998287114,inf,0.7817659727207465,0.10059171597633136,1.0,0.5502958579881657
frozenset({'vendor=Microsoft'}),"frozenset({'month=Q2', 'product=Windows'})",0.23686054660126138,0.023826208829712685,0.023826208829712685,0.10059171597633138,4.221893491124261,1.0,0.01818271998287114,1.0853511230774906,1.0,0.10059171597633136,0.07863918068788575,0.5502958579881657
"frozenset({'year=<=2022', 'product=Windows', 'month=Q1'})",frozenset({'vendor=Microsoft'}),0.023826208829712685,0.23686054660126138,0.023826208829712685,1.0,4.221893491124261,1.0,0.01818271998287114,inf,0.7817659727207465,0.10059171597633136,1.0,0.5502958579881657
frozenset({'vendor=Microsoft'}),"frozenset({'year=<=2022', 'product=Windows', 'month=Q1'})",0.23686054660126138,0.023826208829712685,0.023826208829712685,0.10059171597633138,4.221893491124261,1.0,0.01818271998287114,1.0853511230774906,1.0,0.10059171597633136,0.07863918068788575,0.5502958579881657
"frozenset({'year=<=2022', 'product=Windows', 'month=Q4'})","frozenset({'ransomware=False', 'vendor=Microsoft'})",0.02102312543798178,0.23686054660126138,0.02102312543798178,1.0,4.221893491124261,1.0,0.016043576455474533,inf,0.7795275590551182,0.08875739644970414,1.0,0.5443786982248521
"frozenset({'year=<=2022', 'product=Windows'})",frozenset({'vendor=Microsoft'}),0.06377014716187807,0.23686054660126138,0.06377014716187807,1.0,4.221893491124261,1.0,0.04866551524827275,inf,0.815119760479042,0.2692307692307692,1.0,0.6346153846153846
