support,itemsets
0.021723896285914507,"frozenset({'product=Multiple Products', 'year=<=2022'})"
0.021723896285914507,"frozenset({'ransomware=False', 'year=<=2022', 'product=Multiple Products'})"
0.02102312543798178,"frozenset({'product=Windows', 'ransomware=False', 'vendor=Microsoft', 'year=<=2022', 'month=Q4'})"
0.02102312543798178,"frozenset({'ransomware=False', 'vendor=Microsoft', 'year=<=2022', 'product=Internet Explorer'})"
0.02102312543798178,frozenset({'cwe=CWE-843'})
0.02102312543798178,"frozenset({'cwe=CWE-416', 'month=Q4'})"
0.02102312543798178,"frozenset({'vendor=Microsoft', 'year=<=2022', 'product=Windows', 'month=Q4'})"
0.02102312543798178,"frozenset({'ransomware=False', 'cwe=CWE-416', 'month=Q4'})"
0.02102312543798178,"frozenset({'year=<=2022', 'product=Windows', 'month=Q4'})"
0.02102312543798178,"frozenset({'cwe=CWE-843', 'ransomware=False'})"
0.02102312543798178,"frozenset({'vendor=Apple', 'month=Q4'})"
0.02102312543798178,"frozenset({'year=<=2022', 'product=Internet Explorer'})"
0.02102312543798178,"frozenset({'ransomware=False', 'year=<=2022', 'product=Windows', 'month=Q4'})"
0.02102312543798178,"frozenset({'ransomware=False', 'vendor=Apple', 'month=Q4'})"
0.02102312543798178,"frozenset({'vendor=Microsoft', 'year=<=2022', 'product=Internet Explorer'})"
0.02102312543798178,"frozenset({'ransomware=False', 'year=<=2022', 'product=Internet Explorer'})"
0.020322354590049056,frozenset({'cwe=CWE-287'})
0.020322354590049056,"frozenset({'year=<=2022', 'cwe=CWE-264'})"
0.020322354590049056,"frozenset({'ransomware=False', 'cwe=CWE-287'})"
0.020322354590049056,"frozenset({'year=2024-2025', 'cwe=CWE-78'})"
0.020322354590049056,"frozenset({'year=<=2022', 'product=Flash Player'})"
0.020322354590049056,"frozenset({'ransomware=False', 'year=2024-2025', 'cwe=CWE-78'})"
0.020322354590049056,"frozenset({'year=<=2022', 'vendor=Oracle'})"
0.020322354590049056,"frozenset({'ransomware=False', 'year=<=2022', 'cwe=CWE-264'})"
0.020322354590049056,"frozenset({'vendor=Adobe', 'year=<=2022', 'product=Flash Player'})"
0.020322354590049056,"frozenset({'ransomware=False', 'year=<=2022', 'product=Flash Player'})"
0.020322354590049056,"frozenset({'ransomware=False', 'year=<=2022', 'vendor=Oracle'})"
0.020322354590049056,"frozenset({'ransomware=False', 'year=<=2022', 'vendor=Adobe', 'product=Flash Player'})"
